date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,high,low
"06/18/2017, GT Craig NCore",0.2,2.0,5.0,5.0,0.039,36.0,19.0,18.0,3.0,13.0,0.0,0.0,36.0,90,72
"06/19/2017, GT Craig NCore",0.2,2.0,15.0,14.0,0.041,38.0,13.0,12.0,-0.1,0.0,1.0,1.0,38.0,81,63
"06/20/2017, GT Craig NCore",0.2,2.0,14.0,13.0,0.043,40.0,12.0,11.0,0.3,1.0,0.0,0.0,40.0,80,60
"06/21/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.041,38.0,14.0,13.0,5.0,21.0,2.0,3.0,38.0,76,60
"06/22/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.044,41.0,37.0,34.0,7.8,33.0,4.0,6.0,41.0,89,62
"06/23/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.028,26.0,10.0,9.0,-2.9,0.0,0.0,0.0,26.0,78,71
"06/24/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.041,38.0,13.0,12.0,0.9,4.0,0.0,0.0,38.0,81,63
"06/25/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.043,40.0,12.0,11.0,0.8,3.0,0.0,0.0,40.0,76,60
"06/26/2017, GT Craig NCore",0.2,2.0,11.0,10.0,,,13.0,12.0,1.5,6.0,0.0,0.0,12.0,74,56
"06/27/2017, GT Craig NCore",0.2,2.0,30.0,28.0,0.033,31.0,16.0,15.0,1.9,8.0,8.0,11.0,31.0,72,53
"06/28/2017, GT Craig NCore",0.2,2.0,16.0,15.0,0.047,44.0,24.0,22.0,3.1,13.0,7.0,10.0,44.0,79,57
"06/29/2017, GT Craig NCore",0.2,2.0,22.0,21.0,0.052,48.0,36.0,33.0,4.7,20.0,7.0,10.0,48.0,88,68
"06/30/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.043,40.0,16.0,15.0,2.3,10.0,1.0,1.0,40.0,88,70
"07/01/2017, GT Craig NCore",0.2,2.0,24.0,23.0,0.044,41.0,13.0,12.0,3.4,14.0,2.0,3.0,41.0,85,69
"07/02/2017, GT Craig NCore",0.3,3.0,12.0,11.0,0.053,49.0,18.0,17.0,4.3,18.0,0.0,0.0,49.0,85,67
"07/03/2017, GT Craig NCore",,,15.0,14.0,0.043,40.0,16.0,15.0,4.3,18.0,4.0,6.0,40.0,82,69
"07/04/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.038,35.0,20.0,19.0,7.3,30.0,2.0,3.0,35.0,79,68
"07/05/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.035,32.0,22.0,20.0,9.3,39.0,0.0,0.0,39.0,82,61
"07/06/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.054,50.0,54.0,50.0,15.0,57.0,14.0,20.0,57.0,83,66
"07/07/2017, GT Craig NCore",0.4,5.0,17.0,16.0,0.05,46.0,16.0,15.0,2.8,12.0,1.0,1.0,46.0,83,68
