date_county,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE
"07/28/2017, Cuyahoga",6,6
"07/29/2017, Cuyahoga",11,10
"07/30/2017, Cuyahoga",12,11
"07/31/2017, Cuyahoga",23,22
"08/01/2017, Cuyahoga",34,32
"08/04/2017, Cuyahoga",17,16
"08/05/2017, Cuyahoga",9,8
"08/06/2017, Cuyahoga",9,8
"08/07/2017, Cuyahoga",16,15
"08/08/2017, Cuyahoga",16,15
"08/09/2017, Cuyahoga",24,23
"08/10/2017, Cuyahoga",10,9
"08/11/2017, Cuyahoga",15,14
"08/12/2017, Cuyahoga",15,14
"08/13/2017, Cuyahoga",6,6
"08/14/2017, Cuyahoga",10,9
"08/15/2017, Cuyahoga",26,25
"08/16/2017, Cuyahoga",9,8
"08/17/2017, Cuyahoga",11,10
"08/18/2017, Cuyahoga",16,15
"08/19/2017, Cuyahoga",17,16
"08/20/2017, Cuyahoga",9,8
"08/21/2017, Cuyahoga",23,22
"08/22/2017, Cuyahoga",20,19
"08/23/2017, Cuyahoga",22,21
"08/24/2017, Cuyahoga",15,14
"08/25/2017, Cuyahoga",17,16
"08/26/2017, Cuyahoga",13,12
"08/27/2017, Cuyahoga",5,5
"08/28/2017, Cuyahoga",6,6
"08/29/2017, Cuyahoga",20,19
"08/30/2017, Cuyahoga",24,23
"08/31/2017, Cuyahoga",28,26
"09/01/2017, Cuyahoga",2,2
"09/02/2017, Cuyahoga",5,5
"09/03/2017, Cuyahoga",16,15
"09/04/2017, Cuyahoga",8,8
"09/05/2017, Cuyahoga",24,23
"09/06/2017, Cuyahoga",21,20
"09/07/2017, Cuyahoga",13,12
"09/08/2017, Cuyahoga",20,19
"09/09/2017, Cuyahoga",9,8
"09/10/2017, Cuyahoga",4,4
"09/11/2017, Cuyahoga",3,3
"09/12/2017, Cuyahoga",12,11
"09/13/2017, Cuyahoga",15,14
"09/14/2017, Cuyahoga",10,9
"09/15/2017, Cuyahoga",16,15
"09/16/2017, Cuyahoga",12,11
"09/17/2017, Cuyahoga",11,10
"09/18/2017, Cuyahoga",24,23
"09/19/2017, Cuyahoga",24,23
"09/20/2017, Cuyahoga",26,25
"09/21/2017, Cuyahoga",31,29
"09/22/2017, Cuyahoga",13,12
"09/23/2017, Cuyahoga",19,18
"09/24/2017, Cuyahoga",11,10
"09/25/2017, Cuyahoga",9,8
"09/26/2017, Cuyahoga",20,19
"09/27/2017, Cuyahoga",33,31
"09/28/2017, Cuyahoga",13,12
"09/29/2017, Cuyahoga",26,25
