date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/14/2017, Chippewa",,,,,,,,,9.6,40.0,,
"01/14/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/14/2017, Cleveland Near Road",0.5,6.0,28.0,26.0,,,,,,,,
"01/14/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/14/2017, GT Craig NCore",0.3,3.0,20.0,19.0,0.026,24.0,12.0,11.0,8.3,35.0,1.0,1.0
"01/14/2017, GT Craig NCore",0.3,3.0,20.0,19.0,0.026,24.0,12.0,11.0,8.3,35.0,1.0,1.0
"01/14/2017, Galleria",0.0,0.0,,,,,,,,,,
"01/14/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/14/2017, Mentor",0.6,7.0,,,,,,,,,,
"01/14/2017, Painesville",,,,,,,,,6.6,28.0,0.0,0.0
"01/14/2017, St Theodosius",,,,,,,18.0,17.0,,,0.0,0.0
"01/15/2017, Barr School",,,,,,,,,9.0,38.0,,
"01/15/2017, Chippewa",,,,,,,,,18.0,63.0,,
"01/15/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/15/2017, Cleveland Near Road",0.6,7.0,30.0,28.0,,,,,,,,
"01/15/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/15/2017, GT Craig NCore",0.7,8.0,37.0,35.0,0.015,14.0,21.0,19.0,21.3,70.0,8.0,11.0
"01/15/2017, GT Craig NCore",0.7,8.0,37.0,35.0,0.015,14.0,21.0,19.0,21.3,70.0,7.7,10.0
"01/15/2017, Galleria",0.1,1.0,,,,,,,,,,
"01/15/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/15/2017, Mentor",0.7,8.0,,,,,,,,,,
"01/15/2017, Painesville",,,,,,,,,10.9,45.0,1.0,1.0
"01/15/2017, St Theodosius",,,,,,,34.0,31.0,,,0.0,0.0
"01/16/2017, Barr School",,,,,,,,,26.6,81.0,,
"01/16/2017, Barr School",,,,,,,,,12.7,52.0,,
"01/16/2017, Brookpark",,,,,,,,,24.1,76.0,,
"01/16/2017, Chippewa",,,,,,,,,27.7,84.0,,
"01/16/2017, Chippewa",,,,,,,,,24.7,77.0,,
"01/16/2017, Cleveland Fire St13",,,,,,,,,24.3,77.0,0.0,0.0
"01/16/2017, Cleveland Near Road",0.6,7.0,28.0,26.0,,,,,,,,
"01/16/2017, District 6",,,,,,,,,22.9,74.0,,
"01/16/2017, Eastlake",,,,,,,,,,,4.0,6.0
"01/16/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,28.5,85.0,2.0,3.0
"01/16/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,28.5,85.0,2.5,3.0
"01/16/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,29.0,87.0,2.0,3.0
"01/16/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,29.0,87.0,2.5,3.0
"01/16/2017, Galleria",0.3,3.0,,,,,,,,,,
"01/16/2017, Harvard Yards",,,,,,,,,27.4,83.0,0.0,0.0
"01/16/2017, Mentor",0.8,9.0,,,,,,,,,,
"01/16/2017, Painesville",,,,,,,,,23.1,74.0,1.0,1.0
"01/16/2017, Painesville",,,,,,,,,13.5,54.0,1.0,1.0
"01/16/2017, St Theodosius",,,,,,,46.0,43.0,30.7,90.0,0.0,0.0
"01/16/2017, St Theodosius",,,,,,,46.0,43.0,31.9,93.0,0.0,0.0
"01/17/2017, Barr School",,,,,,,,,3.1,13.0,,
"01/17/2017, Chippewa",,,,,,,,,8.2,34.0,,
"01/17/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/17/2017, Cleveland Near Road",0.3,3.0,20.0,19.0,,,,,,,,
"01/17/2017, Eastlake",,,,,,,,,,,2.0,3.0
