date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"10/19/2017, Cuyahoga",9.3,39
"10/22/2017, Cuyahoga",14.5,56
"10/25/2017, Cuyahoga",3.7,15
"10/28/2017, Cuyahoga",3.2,13
"10/31/2017, Cuyahoga",5.0,21
"11/03/2017, Cuyahoga",3.9,16
"11/06/2017, Cuyahoga",3.1,13
"11/09/2017, Cuyahoga",17.3,62
"11/12/2017, Cuyahoga",16.6,60
"11/15/2017, Cuyahoga",16.8,61
"11/18/2017, Cuyahoga",8.6,36
"11/21/2017, Cuyahoga",5.9,25
"11/24/2017, Cuyahoga",10.2,43
"11/27/2017, Cuyahoga",14.5,56
"11/30/2017, Cuyahoga",12.8,52
"12/03/2017, Cuyahoga",32.6,94
"12/06/2017, Cuyahoga",4.1,17
"12/09/2017, Cuyahoga",14.4,56
"12/12/2017, Cuyahoga",6.0,25
"12/15/2017, Cuyahoga",15.5,58
"12/18/2017, Cuyahoga",16.0,59
"12/21/2017, Cuyahoga",6.3,26
"12/24/2017, Cuyahoga",12.8,52
"12/27/2017, Cuyahoga",12.9,53
"12/30/2017, Cuyahoga",11.9,50
"01/01/2017, Cuyahoga",9.6,40
"01/02/2017, Cuyahoga",14.1,55
"01/03/2017, Cuyahoga",7.7,32
"01/04/2017, Cuyahoga",4.6,19
"01/05/2017, Cuyahoga",5.3,22
"01/06/2017, Cuyahoga",14.1,55
"01/07/2017, Cuyahoga",13.4,54
"01/08/2017, Cuyahoga",1.5,6
"01/09/2017, Cuyahoga",11.3,47
"01/10/2017, Cuyahoga",5.6,23
"01/11/2017, Cuyahoga",10.2,43
"01/12/2017, Cuyahoga",9.4,39
"01/13/2017, Cuyahoga",6.8,28
"01/14/2017, Cuyahoga",8.3,35
"01/15/2017, Cuyahoga",21.3,70
"01/16/2017, Cuyahoga",29.0,87
"01/17/2017, Cuyahoga",11.0,46
"01/18/2017, Cuyahoga",4.0,17
"01/19/2017, Cuyahoga",8.1,34
