date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi
"05/20/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.031,29.0,15.0,14.0,7.0,29.0,0.0,0.0,29.0
"05/21/2017, GT Craig NCore",0.5,6.0,11.0,10.0,0.031,29.0,20.0,19.0,11.2,47.0,1.0,1.0,47.0
"05/22/2017, GT Craig NCore",0.2,2.0,21.0,20.0,0.045,42.0,14.0,13.0,4.8,20.0,14.0,20.0,42.0
"05/23/2017, GT Craig NCore",0.4,5.0,39.0,37.0,0.047,44.0,35.0,32.0,11.3,47.0,10.0,14.0,47.0
"05/24/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.033,31.0,18.0,17.0,9.0,38.0,3.0,4.0,38.0
"05/25/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.029,27.0,8.0,7.0,4.9,20.0,0.0,0.0,27.0
"05/26/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.037,34.0,11.0,10.0,5.2,22.0,0.0,0.0,34.0
"05/27/2017, GT Craig NCore",0.4,5.0,24.0,23.0,0.039,36.0,12.0,11.0,10.1,42.0,0.0,0.0,42.0
"05/28/2017, GT Craig NCore",0.4,5.0,14.0,13.0,0.039,36.0,23.0,21.0,12.3,51.0,10.0,14.0,51.0
"05/29/2017, GT Craig NCore",0.3,3.0,14.0,13.0,0.047,44.0,16.0,15.0,6.8,28.0,8.0,11.0,44.0
"05/30/2017, GT Craig NCore",0.3,3.0,20.0,19.0,0.044,41.0,27.0,25.0,4.7,20.0,6.0,9.0,41.0
"05/31/2017, GT Craig NCore",0.3,3.0,36.0,34.0,0.047,44.0,40.0,37.0,8.3,35.0,12.0,17.0,44.0
"06/01/2017, GT Craig NCore",0.3,3.0,39.0,37.0,0.042,39.0,27.0,25.0,6.5,27.0,10.0,14.0,39.0
"06/02/2017, GT Craig NCore",0.5,6.0,38.0,36.0,0.041,38.0,44.0,41.0,14.7,56.0,10.0,14.0,56.0
"06/03/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.045,42.0,29.0,27.0,11.8,49.0,1.0,1.0,49.0
"06/04/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.051,47.0,29.0,27.0,13.4,54.0,11.0,16.0,54.0
"06/05/2017, GT Craig NCore",0.2,2.0,11.0,10.0,0.042,39.0,12.0,11.0,6.1,25.0,0.0,0.0,39.0
"06/06/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.03,28.0,10.0,9.0,5.0,21.0,0.0,0.0,28.0
"06/07/2017, GT Craig NCore",0.3,3.0,17.0,16.0,0.028,26.0,9.0,8.0,3.6,15.0,0.0,0.0,26.0
"06/08/2017, GT Craig NCore",0.6,7.0,36.0,34.0,0.036,33.0,30.0,28.0,8.9,37.0,5.0,7.0,37.0
"06/09/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.043,40.0,69.0,58.0,16.3,60.0,17.0,24.0,60.0
"06/10/2017, GT Craig NCore",0.7,8.0,10.0,9.0,0.064,80.0,30.0,28.0,10.0,42.0,1.0,1.0,80.0
"06/11/2017, GT Craig NCore",0.8,9.0,19.0,18.0,0.059,64.0,23.0,21.0,,,10.0,14.0,64.0
"06/12/2017, GT Craig NCore",,,14.0,13.0,0.053,49.0,28.0,26.0,,,1.0,1.0,49.0
"06/13/2017, GT Craig NCore",0.3,3.0,18.0,17.0,0.07,100.0,33.0,31.0,,,3.0,4.0,100.0
"06/14/2017, GT Craig NCore",0.4,5.0,28.0,26.0,0.052,48.0,40.0,37.0,13.0,53.0,3.0,4.0,53.0
"06/15/2017, GT Craig NCore",0.4,5.0,32.0,30.0,0.044,41.0,24.0,22.0,7.9,33.0,14.0,20.0,41.0
"06/16/2017, GT Craig NCore",0.3,3.0,24.0,23.0,0.055,51.0,22.0,20.0,4.9,20.0,7.0,10.0,51.0
"06/17/2017, GT Craig NCore",0.3,3.0,15.0,14.0,0.056,54.0,29.0,27.0,10.3,43.0,5.0,7.0,54.0
"06/18/2017, GT Craig NCore",0.2,2.0,5.0,5.0,0.039,36.0,19.0,18.0,3.0,13.0,0.0,0.0,36.0
"06/19/2017, GT Craig NCore",0.2,2.0,15.0,14.0,0.041,38.0,13.0,12.0,-0.1,0.0,1.0,1.0,38.0
"06/20/2017, GT Craig NCore",0.2,2.0,14.0,13.0,0.043,40.0,12.0,11.0,0.3,1.0,0.0,0.0,40.0
"06/21/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.041,38.0,14.0,13.0,5.0,21.0,2.0,3.0,38.0
"06/22/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.044,41.0,37.0,34.0,7.8,33.0,4.0,6.0,41.0
"06/23/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.028,26.0,10.0,9.0,-2.9,0.0,0.0,0.0,26.0
"06/24/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.041,38.0,13.0,12.0,0.9,4.0,0.0,0.0,38.0
"06/25/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.043,40.0,12.0,11.0,0.8,3.0,0.0,0.0,40.0
"06/26/2017, GT Craig NCore",0.2,2.0,11.0,10.0,,,13.0,12.0,1.5,6.0,0.0,0.0,12.0
"06/27/2017, GT Craig NCore",0.2,2.0,30.0,28.0,0.033,31.0,16.0,15.0,1.9,8.0,8.0,11.0,31.0
"06/28/2017, GT Craig NCore",0.2,2.0,16.0,15.0,0.047,44.0,24.0,22.0,3.1,13.0,7.0,10.0,44.0
"06/29/2017, GT Craig NCore",0.2,2.0,22.0,21.0,0.052,48.0,36.0,33.0,4.7,20.0,7.0,10.0,48.0
"06/30/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.043,40.0,16.0,15.0,2.3,10.0,1.0,1.0,40.0
"07/01/2017, GT Craig NCore",0.2,2.0,24.0,23.0,0.044,41.0,13.0,12.0,3.4,14.0,2.0,3.0,41.0
"07/02/2017, GT Craig NCore",0.3,3.0,12.0,11.0,0.053,49.0,18.0,17.0,4.3,18.0,0.0,0.0,49.0
"07/03/2017, GT Craig NCore",,,15.0,14.0,0.043,40.0,16.0,15.0,4.3,18.0,4.0,6.0,40.0
"07/04/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.038,35.0,20.0,19.0,7.3,30.0,2.0,3.0,35.0
"07/05/2017, GT Craig NCore",0.3,3.0,23.0,22.0,0.035,32.0,22.0,20.0,9.3,39.0,0.0,0.0,39.0
"07/06/2017, GT Craig NCore",0.7,8.0,34.0,32.0,0.054,50.0,54.0,50.0,15.0,57.0,14.0,20.0,57.0
"07/07/2017, GT Craig NCore",0.4,5.0,17.0,16.0,0.05,46.0,16.0,15.0,2.8,12.0,1.0,1.0,46.0
"07/08/2017, GT Craig NCore",0.3,3.0,13.0,12.0,0.033,31.0,14.0,13.0,4.4,18.0,9.0,13.0,31.0
"07/09/2017, GT Craig NCore",0.4,5.0,16.0,15.0,0.05,46.0,20.0,19.0,6.2,26.0,7.0,10.0,46.0
"07/10/2017, GT Craig NCore",,,31.0,29.0,0.027,25.0,26.0,24.0,7.1,30.0,9.0,13.0,30.0
"07/11/2017, GT Craig NCore",0.3,3.0,,,0.043,40.0,19.0,18.0,4.8,20.0,0.0,0.0,40.0
"07/12/2017, GT Craig NCore",0.3,3.0,11.0,10.0,0.045,42.0,21.0,19.0,3.8,16.0,0.0,0.0,42.0
"07/13/2017, GT Craig NCore",0.2,2.0,16.0,15.0,0.03,28.0,18.0,17.0,6.3,26.0,0.0,0.0,28.0
"07/14/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.039,36.0,14.0,13.0,2.3,10.0,0.0,0.0,36.0
"07/15/2017, GT Craig NCore",0.2,2.0,21.0,20.0,0.032,30.0,12.0,11.0,2.6,11.0,3.0,4.0,30.0
"07/16/2017, GT Craig NCore",0.3,3.0,15.0,14.0,0.043,40.0,18.0,17.0,6.8,28.0,7.0,10.0,40.0
"07/17/2017, GT Craig NCore",0.2,2.0,24.0,23.0,0.034,31.0,15.0,14.0,5.7,24.0,0.0,0.0,31.0
"07/18/2017, GT Craig NCore",0.4,5.0,31.0,29.0,0.049,45.0,48.0,44.0,11.7,49.0,40.0,56.0,56.0
"07/19/2017, GT Craig NCore",0.4,5.0,36.0,34.0,0.061,71.0,33.0,31.0,12.4,52.0,6.0,9.0,71.0
"07/20/2017, GT Craig NCore",0.3,3.0,31.0,29.0,0.049,45.0,28.0,26.0,6.3,26.0,4.0,6.0,45.0
